"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"c13","population_group","0","idp",0.387801957748037,NA,0.365021069709282,0.410582845786792,"all","all"
"c13","population_group","1","idp",0.612198042251963,NA,0.589417154213208,0.634978930290718,"all","all"
"c13","population_group","0","idp_camp",0.247605596165349,NA,0.222057341328897,0.273153851001801,"all","all"
"c13","population_group","1","idp_camp",0.752394403834651,NA,0.726846148998199,0.777942658671103,"all","all"
"c13","population_group","0","returnee",0.291720709812602,NA,0.267855379413229,0.315586040211975,"all","all"
"c13","population_group","1","returnee",0.708279290187398,NA,0.684413959788025,0.732144620586771,"all","all"
"c14","population_group",NA,"idp",1.5767011737072,NA,1.54818563997836,1.60521670743605,"all","all"
"c14","population_group",NA,"returnee",1.58508029786159,NA,1.55117328784653,1.61898730787665,"all","all"
"c14","population_group",NA,"idp_camp",1.68804443287072,NA,1.66054478196138,1.71554408378007,"all","all"
"c15","population_group","0","idp",0.981500795547856,NA,0.977497082400325,0.985504508695387,"all","all"
"c15","population_group","1","idp",0.0184992044521441,NA,0.0144954913046134,0.0225029175996748,"all","all"
"c15","population_group","0","idp_camp",0.995274348212371,NA,0.991560600931464,0.998988095493278,"all","all"
"c15","population_group","1","idp_camp",0.00472565178762906,NA,0.00101190450672168,0.00843939906853643,"all","all"
"c15","population_group","0","returnee",0.983377513084966,NA,0.97918642454045,0.987568601629482,"all","all"
"c15","population_group","1","returnee",0.0166224869150339,NA,0.0124313983705175,0.0208135754595503,"all","all"
"c16","population_group","0","idp",0.207025791344732,NA,0.191148188610696,0.222903394078767,"all","all"
"c16","population_group","1","idp",0.792974208655268,NA,0.777096605921233,0.808851811389304,"all","all"
"c16","population_group","0","idp_camp",0.26291093795919,NA,0.244281867509984,0.281540008408396,"all","all"
"c16","population_group","1","idp_camp",0.73708906204081,NA,0.718459991591604,0.755718132490016,"all","all"
"c16","population_group","0","returnee",0.247723369626897,NA,0.228214001752145,0.267232737501648,"all","all"
"c16","population_group","1","returnee",0.752276630373103,NA,0.732767262498352,0.771785998247855,"all","all"
"c17","population_group","0","idp",0.599521479153499,NA,0.580374069508065,0.618668888798933,"all","all"
"c17","population_group","1","idp",0.4004785208465,NA,0.381331111201067,0.419625930491934,"all","all"
"c17","population_group","0","idp_camp",0.273637881285976,NA,0.253628045443348,0.293647717128605,"all","all"
"c17","population_group","1","idp_camp",0.726362118714024,NA,0.706352282871395,0.746371954556652,"all","all"
"c17","population_group","0","returnee",0.471186363481903,NA,0.447625032325062,0.494747694638744,"all","all"
"c17","population_group","1","returnee",0.528813636518097,NA,0.505252305361256,0.552374967674938,"all","all"
"c18","population_group","0","idp",0.834817858991058,NA,0.818728050049743,0.850907667932373,"all","all"
"c18","population_group","1","idp",0.165182141008942,NA,0.149092332067627,0.181271949950257,"all","all"
"c18","population_group","0","idp_camp",0.94765163461777,NA,0.939025534841975,0.956277734393564,"all","all"
"c18","population_group","1","idp_camp",0.0523483653822304,NA,0.0437222656064363,0.0609744651580245,"all","all"
"c18","population_group","0","returnee",0.83938748425505,NA,0.819648266487179,0.859126702022921,"all","all"
"c18","population_group","1","returnee",0.16061251574495,NA,0.140873297977079,0.180351733512821,"all","all"
"c21","population_group","0","idp",0.699525805304732,NA,0.680945776364877,0.718105834244587,"all","all"
"c21","population_group","1","idp",0.300474194695268,NA,0.281894165755412,0.319054223635123,"all","all"
"c21","population_group","0","idp_camp",0.728854786130145,NA,0.70971519383241,0.74799437842788,"all","all"
"c21","population_group","1","idp_camp",0.271145213869855,NA,0.25200562157212,0.29028480616759,"all","all"
"c21","population_group","0","returnee",0.642959308445598,NA,0.620037257283698,0.665881359607497,"all","all"
"c21","population_group","1","returnee",0.357040691554403,NA,0.334118640392503,0.379962742716302,"all","all"
"c22","population_group","0","idp",0.823313442680866,NA,0.802225221558362,0.84440166380337,"all","all"
"c22","population_group","1","idp",0.176686557319134,NA,0.15559833619663,0.197774778441638,"all","all"
"c22","population_group","0","idp_camp",0.897474279158688,NA,0.882441260290361,0.912507298027015,"all","all"
"c22","population_group","1","idp_camp",0.102525720841312,NA,0.0874927019729855,0.117558739709639,"all","all"
"c22","population_group","0","returnee",0.909966454439488,NA,0.894309043361963,0.925623865517012,"all","all"
"c22","population_group","1","returnee",0.0900335455605125,NA,0.0743761344829881,0.105690956638037,"all","all"
"c25","population_group","0","idp",0.501491193720803,NA,0.383129026917775,0.619853360523831,"all","all"
"c25","population_group","1","idp",0.498508806279197,NA,0.380146639476169,0.616870973082225,"all","all"
"c25","population_group","0","idp_camp",0.24537713294854,NA,0.123492894403787,0.367261371493293,"all","all"
"c25","population_group","1","idp_camp",0.75462286705146,NA,0.632738628506707,0.876507105596213,"all","all"
"c25","population_group","0","returnee",0.20552916815063,NA,0.0987933319734333,0.312265004327826,"all","all"
"c25","population_group","1","returnee",0.79447083184937,NA,0.687734995672173,0.901206668026567,"all","all"
"c26","population_group","0","idp",0.987510853113291,NA,0.983850905576995,0.991170800649588,"all","all"
"c26","population_group","1","idp",0.0124891468867089,NA,0.00882919935041235,0.0161490944230054,"all","all"
"c26","population_group","0","idp_camp",0.803352286804507,NA,0.789715972841802,0.816988600767212,"all","all"
"c26","population_group","1","idp_camp",0.196647713195493,NA,0.183011399232788,0.210284027158198,"all","all"
"c26","population_group","0","returnee",0.992251671139427,NA,0.988024434035268,0.996478908243586,"all","all"
"c26","population_group","1","returnee",0.00774832886057329,NA,0.00352109175641441,0.0119755659647322,"all","all"
"c27","population_group","0","idp",0.393816080189365,NA,0.371749731907591,0.415882428471138,"all","all"
"c27","population_group","1","idp",0.606183919810635,NA,0.584117571528862,0.628250268092408,"all","all"
"c27","population_group","0","idp_camp",0.420661229227795,NA,0.392194788041658,0.449127670413932,"all","all"
"c27","population_group","1","idp_camp",0.579338770772205,NA,0.550872329586068,0.607805211958342,"all","all"
"c27","population_group","0","returnee",0.390333581178369,NA,0.363760670384302,0.416906491972436,"all","all"
"c27","population_group","1","returnee",0.609666418821631,NA,0.583093508027564,0.636239329615698,"all","all"
"c28","population_group","0","idp",0.545843468344992,NA,0.52587412588499,0.565812810804995,"all","all"
"c28","population_group","1","idp",0.454156531655008,NA,0.434187189195005,0.47412587411501,"all","all"
"c28","population_group","0","returnee",0.92899115021177,NA,0.915891184968805,0.942091115454734,"all","all"
"c28","population_group","1","returnee",0.0710088497882305,NA,0.0579088845452661,0.0841088150311948,"all","all"
